ID,Player,Position,GP,TOI,TOI/GP,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,HDCF/60,HDCA/60,HDCF%,HDGF/60,HDGA/60,HDGF%,MDCF/60,MDCA/60,MDCF%,MDGF/60,MDGA/60,MDGF%,LDCF/60,LDCA/60,LDCF%,LDGF/60,LDGA/60,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts/60,Neu. Zone Starts/60,Def. Zone Starts/60,On The Fly Starts/60,Off. Zone Start %,Off. Zone Faceoffs/60,Neu. Zone Faceoffs/60,Def. Zone Faceoffs/60,Off. Zone Faceoff %
1,Mark Giordano,D,56,916.80,16.37,54.65,48.23,53.12,40.97,35.21,53.78,28.14,27.29,50.77,2.81,2.23,55.84,2.20,1.98,52.63,26.37,23.69,52.68,10.47,9.88,51.45,1.51,1.31,53.49,21.20,18.41,53.52,1.22,0.96,56.00,34.98,30.91,53.08,0.57,0.19,75.00,10.00,91.85,1.02,9.55,13.48,10.67,49.67,47.25,19.50,19.57,19.31,50.25
2,Milan Lucic,L,56,663.82,11.85,53.87,50.16,51.78,40.58,38.23,51.49,28.65,28.83,49.84,2.71,3.07,46.88,2.19,1.90,53.50,26.66,22.87,53.83,9.85,8.77,52.91,0.99,1.54,39.29,22.42,18.80,54.39,1.93,1.69,53.33,34.47,33.81,50.48,0.39,0.26,60.00,9.46,89.34,0.99,8.77,12.93,7.68,50.35,53.30,16.54,17.72,16.36,50.27
3,Mikael Backlund,C,54,720.95,13.35,57.17,48.02,54.35,44.19,36.29,54.91,31.46,25.38,55.34,2.75,2.83,49.25,2.48,1.84,57.44,27.38,22.97,54.38,11.40,9.15,55.47,1.08,1.50,41.94,21.31,18.42,53.63,1.78,1.33,57.14,37.51,31.62,54.26,0.48,0.36,57.14,8.73,88.85,0.98,8.74,12.98,9.90,45.27,46.88,16.48,17.31,17.48,48.53
4,Michael Stone,D,21,289.00,13.76,62.49,50.87,55.13,47.54,40.48,54.01,32.60,29.48,52.51,2.91,2.91,50.00,2.44,1.90,56.19,28.86,23.04,55.60,9.13,7.27,55.70,0.83,1.25,40.00,26.30,21.04,55.56,1.66,1.66,50.00,41.68,34.19,54.94,1.20,0.60,66.67,8.92,90.14,0.99,7.68,7.89,6.44,64.57,54.41,17.65,14.95,16.19,52.15
5,Christopher Tanev,D,56,987.32,17.63,53.96,42.96,55.67,42.05,31.36,57.28,29.90,22.30,57.28,2.31,1.40,62.30,2.31,1.47,61.12,27.16,19.20,58.58,10.76,6.32,62.99,1.34,0.91,59.46,21.88,17.18,56.02,0.97,0.57,63.16,33.62,28.70,53.94,0.26,0.09,75.00,7.72,93.73,1.01,7.72,13.19,9.66,49.16,44.41,18.54,19.69,18.90,49.51
6,Joakim Nordstrom,C,44,391.48,8.90,55.48,49.96,52.62,40.46,37.09,52.17,27.28,26.05,51.15,2.15,1.84,53.85,2.09,1.96,51.61,23.60,21.00,52.92,9.50,8.89,51.67,0.77,1.07,41.67,18.80,16.14,53.80,1.43,1.02,58.33,40.29,36.31,52.60,0.44,0.00,100.00,7.87,92.94,1.01,9.81,14.56,8.43,53.64,53.78,16.55,19.00,17.17,49.09
7,Nikita Nesterov,D,38,532.28,14.01,55.80,51.96,51.78,42.27,41.59,50.40,29.53,31.56,48.34,2.14,3.16,40.43,2.25,2.02,52.76,25.25,24.46,50.79,9.36,9.36,50.00,1.01,1.80,36.00,21.19,20.14,51.27,1.20,1.05,53.33,38.26,35.33,51.99,0.33,0.81,28.57,7.25,90.00,0.97,8.45,7.21,5.97,59.29,58.59,17.36,12.17,13.08,57.04
8,Johnny Gaudreau,L,56,778.07,13.89,53.67,50.12,51.71,41.49,39.33,51.34,29.84,28.99,50.72,2.78,2.24,55.38,2.40,2.04,54.07,26.22,25.22,50.97,10.87,9.41,53.61,1.62,1.16,58.33,20.46,21.08,49.26,1.03,1.03,50.00,34.64,31.52,52.36,0.56,0.45,55.56,9.30,92.29,1.02,13.11,11.88,7.87,44.34,62.50,21.44,16.12,15.27,58.40
9,Josh Leivo,L,38,384.60,10.12,56.94,45.55,55.56,41.65,33.39,55.51,28.24,25.90,52.16,1.87,2.18,46.15,2.32,1.67,58.10,26.52,22.15,54.49,11.08,7.33,60.17,1.25,1.25,50.00,20.59,19.76,51.03,0.83,1.25,40.00,38.31,29.97,56.11,0.00,0.00,-,6.63,91.57,0.98,10.30,11.70,8.11,52.89,55.93,17.94,16.07,14.98,54.50
10,Brett Ritchie,R,32,350.82,10.96,48.40,45.49,51.55,37.63,35.75,51.28,25.31,25.83,49.50,1.71,2.57,40.00,1.92,2.07,48.15,24.63,23.09,51.61,9.06,9.58,48.62,0.86,1.20,41.67,20.75,18.02,53.53,0.91,1.60,36.36,30.88,27.17,53.19,0.25,0.25,50.00,6.76,90.07,0.97,10.09,13.85,9.06,54.05,52.68,16.93,18.98,17.27,49.50
